No;Nama Agenda;
1;Tridharma Perguruan Tinggi;
2;Kuliah Tamu/Guest Lecturer;
3;Gelar Bersama/Joint Degree;
4;Gelar Ganda/Double Degree;
5;Gelar Percepatan/Fast Track;
6;Student Exchange;
7;Study Abroad;
8;Magang/Internship;
9;Immersion;
10;Short Program;
11;Studi Ekskursi;
12;Tugas Akhir;
13;Thesis Writing;
14;Academic Visit;
15;Academic Exchange;
16;Cultural Exchange;
17;Facilities Exchange;
18;Staf/Faculty Exchange;
19;Joint Curriculum;
20;Credit Transfer;
21;Joint Lecturer/ Kuliah Bersama;
22;Joint Projects (Konferensi/Seminar/Workshop/Lomba/pameran);
23;Joint Research;
24;Publikasi Jurnal Ilmiah;
25;Merdeka Belajar Kampus Merdeka (MBKM);
26;Rekrutmen Lulusan;
27;Pengabdian Kepada Masyarakat/ Service Learning;
28;Beasiswa;
29;Hibah/Donasi;
30;Educational and Training Program;
31;Sertifikasi;
32;Akreditasi;
33;Program Sejong Korean;
34;Penerimaan mahasiswa baru;
35;Pemanfaatan e-AMITRA;
36;Penyelenggaraan Pusat Dukungan Teknologi dan Inovasi;
37;Penyelenggaraan IELTS Off-site Testing;
38;Penyelenggaraan Tax Center;
39;Pelaksanaan Asesor BKD Sertifikasi Dosen;
40;Pendayagunaan Aparatur Negara dan Pelaksanaan Reformasi Birokrasi;
41;Pemberdayaan dan pemanfaatan perpustakaan;
42;Website Bursa Informasi Pendidikan Tinggi (BIDikTi);
43;Layanan Transaksi Online;
44;Asuransi;
45;Penyediaan Layanan Telekomunikasi;
46;Promosi Kegiatan;
47;Pembuatan Website;
48;Proyek pendukung untuk Penelitian;
49;Perjanjian Kerahasiaan;
50;Pelatihan Guru;
51;Pengembangan dan kerahasiaan layanan komputasi, server, perangkat lunak, penyimpanan data, database, dan jaringan modul digital dalam Platform LMS Gamifikasi;
52;Pengembangan modul digital ke dalam Platform LMS Gamifikasi;
53;Pemanfaatan LMS Gamifikasi sebagai medium pembelajaran di universitas masing-masing.;
54;Layanan Digital;
55;Pemanfaatan Sistem Pembelajaran Petraverse;
56;Pelatihan;
57;Program ODP (Officer Development Program);
58;Product & Design Development Center;
59;Software Application Development Center;
60;Perlindungan anak, kesehatan masyarakat, sosial, ekonomi, lingkungan, kebencanaan;
61;Pelayanan pendaftaran HAKI pada lingkup sektor industri yang tersedia;
62;Pemanfaatan Vending Machine;
63;Joint Project (Pemberian Jasa);
64;Pendirian Fakultas Kedokteran Gigi;
65;Adendum/Amandemen;
66;Online Course;
67;Program Darmasiswa;
68;Falling Walls Lab Indonesia;
69;Business Class with PBS;
70;Kegiatan Mata Kuliah Wajib Kurikulum (MKWK);
71;Perekrutan mahasiswa;
72;Dual Degree;
